uid,n_neurons,T,dt_sec,unique_loops,loop_switches,segments,validation_score_mean,validation_score_std,recon_corr_full,phase_frac_small,phase_var,phase_speed_bins_per_min,median_d,mean_segment_len,split_idx,mean_pre,mean_post,post_slope,d_peak,recon_corr_post
1,109,3137,0.344277972585246,4,36,37,13.2788379658497,0.719393374434124,0.525504997149511,0.994,0.0476735578526168,3.8536670333703,49.6276805479765,101,1569,0.306320493340262,97.7812027071564,0.335071037244852,189.819249430566,-0.0250764094732727
2,135,3134,0.344607530312715,2,12,13,13.9523995256384,0.432913490389787,0.52436638457898,0.991393578285336,0.0892917348976585,9.12748653698169,54.8440966127849,252.75,1568,-0.0310262256266394,81.104591280564,0.290193635497449,164.685450449921,0.237077325679857
3,131,3059,0.353056554429543,1,0,1,13.82672339364,0.761235231019557,0.533014404472274,0.996957403651116,0.041911984786218,4.59464533813988,67.2759413975553,2959,1530,0.417741287405282,98.3920570495579,0.263454321727052,197.827411221615,-0.0816891763037934
4,125,3311,0.326185442464521,5,9,10,12.7849762793614,1.14362917488879,0.730446475502357,0.999062792877226,0.00687343798812871,0.916571507664601,61.5901585889454,321.1,1656,1.62587830755196,58.8542219036826,0.128103337918954,96.2310083520755,0.155730166824802
5,129,3021,0.357497517378352,3,21,22,13.5743544690711,0.492204829828165,0.64134303154111,0.98827181786823,0.108695533144744,7.19203519597759,50.6526321887695,162.055555555556,1511,0.252445684632362,58.2299724063139,0.144669504358142,94.3715533328049,-0.109386523065763
