uid,n_neurons,T,dt_sec,unique_loops,loop_switches,segments,validation_score_mean,validation_score_std,recon_corr_full,phase_frac_small,phase_var,phase_speed_bins_per_min,median_d,mean_segment_len,split_idx,mean_pre,mean_post,post_slope,d_peak,recon_corr_post
2022-06-14-01,109,1600,0.601592789804031,2,6,7,12.1923447077183,0.663573075307932,0.618649676262481,0.96439923712651,0.485982442262805,17.1064870040392,30.17450007187,225.714285714286,801,0.423647462178382,19.0461932204958,0.0644538061468791,50.2952287936881,0.172950289883834
2022-06-14-07,130,1600,0.601576680591736,3,24,25,12.2427990476652,0.739081599526782,0.693618577205105,0.947266881028939,0.485192863971002,17.0546138878053,32.0530070036113,65.7916666666667,801,-0.47576889113976,21.3735940426231,0.0594257406490158,78.5449034258981,-0.0452123378257364
2022-06-14-13,134,1600,0.60156673102769,2,30,31,12.7099211867544,0.572094453588337,0.617113726600213,0.977404777275662,0.308818058829318,13.7789757253861,34.0803834062339,54.4137931034483,801,0.443263488721153,33.7542523198971,0.112452166065071,80.8102573571658,-0.0395694836084328
2022-06-28-01,142,1600,0.601592789777002,2,59,60,12.5317860361288,0.514217643638548,0.696319284026078,0.966447368421053,0.450881379716573,13.4039077670877,36.4944372344918,31.4,801,0.0927548570149523,38.4058788085047,0.146935442377573,93.5219815407966,-0.209468115780581
2022-06-28-07,142,1600,0.601552517117794,1,0,1,12.8358336884069,0.486784646616638,0.626984524150078,0.965167827739075,0.753392715384351,21.1478110810576,38.0573955378752,1580,801,0.267196697625285,28.2879995378518,0.0511015341035126,95.2113424733242,-0.0224746305558018
2022-07-15-06,128,1600,0.601570205794507,1,0,1,12.1532507761871,0.492383035279406,0.732461233012707,0.965167827739075,0.333511527647009,12.9408173004524,37.3809273837494,1580,801,0.433057973635576,39.2722510550681,0.0617112157227925,113.761211083809,0.0835914360073666
2022-07-15-12,132,1600,0.601569573860033,1,0,1,12.5980137671834,0.583499422077192,0.606539868589617,0.973400886637112,0.482731606453847,15.7815010908195,38.0923265002964,1580,801,0.515866746377726,22.7116701124971,0.0271684936556785,48.2149904229326,-0.0548599588524241
2022-07-20-01,144,1600,0.601574548575989,2,4,5,12.7443330116618,0.572410227520704,0.652243972755186,0.972698412698413,0.405504527944171,15.9707470328513,36.5981095803017,316,801,0.483625023640701,26.7571869386035,0.0590216398054629,51.6929218079645,0.111238433027904
2022-07-26-01,133,1600,0.601572700799749,2,1,2,12.6620950640262,0.602581429311322,0.65189167446943,0.96958174904943,0.403921469347469,14.9607852684059,36.8442573782246,790,801,0.418455035021894,30.0679436772855,0.0779374144278642,56.288957666369,0.0955211326208138
2022-08-02-01,152,1600,0.601566730841634,2,8,9,12.690590912157,0.662875661791572,0.642127469123834,0.994271164863144,0.0604604961746949,3.59819925380007,40.3427664127544,175.555555555556,801,0.599218804562937,31.4557393840658,0.0561033766744289,53.8486951725477,-0.242460601961573
2023-01-09-28,145,1615,0.601566427155043,2,25,26,12.3072310724481,0.501782511743029,0.767930077892818,0.930528999362651,1.60638763153446,36.502317528053,39.4067265449758,66.375,801,0.578009482313416,38.0596668313758,0.0730932667198914,75.9864526744531,0.0727167040832014
2023-01-17-01,138,1615,0.601570933227181,2,10,11,12.8619090993913,0.590005550195617,0.589479447014328,0.97979797979798,0.224225435019811,10.4494290293851,35.8836784682274,159.4,801,0.332411823844509,21.0388793276536,0.0427298830819832,43.3239382646135,-0.11811945911699
2023-01-19-01,124,1600,0.601582366315732,4,26,27,12.0077726544543,0.658202665870722,0.708728812397871,0.989053444945267,0.0947127608021728,5.12282450470653,34.6488288491742,65.7083333333333,801,-0.0070677371471051,33.787238206802,0.124304431025349,83.0054272822886,-0.0788803260902068
2023-01-19-08,147,1600,0.601566731024666,3,12,13,12.7854756397836,0.611145379133172,0.689703447771979,0.985960433950223,0.0715132754830834,3.78757816074241,36.3375523603837,121.538461538462,801,-0.00707003801314888,33.8399715150506,0.10660079958131,78.8986065078493,-0.284646768078536
2023-01-19-15,144,1600,0.601587056685262,3,38,39,12.3883221874803,0.638816763491655,0.692720877287252,0.973393900064893,0.273965294925705,8.99208809333469,34.7402497797419,46.3235294117647,801,-0.0279710277616568,26.1742545142282,0.0545295338502857,44.3110227547962,-0.0957362368775602
2023-01-19-22,153,1600,0.601566731050002,3,22,23,12.5323185683393,0.988399746350375,0.717308702135107,0.970456005138086,0.299248109128194,10.8646003896982,35.8027046576211,71.7727272727273,801,-0.0666012296742434,32.0688676947399,0.11679066071177,77.5403316594162,-0.132323016255609
2023-01-23-01,151,1600,0.601566731001442,3,36,37,13.0947061298436,0.848985473587946,0.679129950075643,0.987686325340246,0.163894009429642,9.40581909954011,37.2174311032554,42.7027027027027,801,0.329955942583714,30.8519800165253,0.0924246173278269,69.0744817913791,0.13213314131917
2023-01-23-08,143,1600,0.601586630505878,2,14,15,11.6881503203092,1.40855049067023,0.754400810685468,0.993610223642173,0.0893816951700798,4.17147851392873,34.8474153644868,121.384615384615,801,0.148309223316134,45.4415209157632,0.064983955652259,88.43827523563,-0.1245328373932
2023-01-23-15,147,1600,0.601565167360091,3,34,35,12.6811905754515,0.701150026895939,0.657560040572372,0.98705501618123,0.150883679594882,5.8149956964208,42.6373676356566,47.8181818181818,801,0.0156384735348955,39.060560096003,0.0909307004219465,67.9286603673006,-0.18560839874795
