uid,n_neurons,T,dt_sec,unique_loops,loop_switches,segments,validation_score_mean,validation_score_std,recon_corr_full,phase_frac_small,phase_var,phase_speed_bins_per_min,median_d,mean_segment_len,split_idx,mean_pre,mean_post,post_slope,d_peak,recon_corr_post
1,109,3137,0.344277972585246,3,6,7,12.9212262152347,1.00972099150405,0.641076485528669,0.997027741083223,0.0368589344948744,3.56020501555949,33.3194905193843,433.571428571429,NaN,NaN,NaN,NaN,NaN,NaN
2,135,3134,0.344607530312715,2,1,2,13.6856479368488,1.10618189571371,0.509646041028923,0.994719471947195,0.126971181766575,10.1641380826733,37.5433002696041,1516,NaN,NaN,NaN,NaN,NaN,NaN
3,131,3059,0.353056554429543,4,31,32,13.5941325383549,0.726352335783352,0.571880265247406,0.996581196581197,0.0495558127842666,5.81449488106008,36.6712726302951,109.333333333333,NaN,NaN,NaN,NaN,NaN,NaN
4,125,3311,0.326185442464521,3,15,16,12.8183493245129,1.19091379658854,0.683524410762669,1,0.0212149540779602,3.90272144219092,35.4861470265861,267.083333333333,NaN,NaN,NaN,NaN,NaN,NaN
5,129,3021,0.357497517378352,2,2,3,13.7425976149599,0.734728031021616,0.527679496743038,0.994855967078189,0.115560802527959,10.2919378782688,36.4616553106598,973,NaN,NaN,NaN,NaN,NaN,NaN
